EstName,PhoneNoEst,EMail,OWNER,MailAddr1,MailAddr2,MailCity,MailZip,EstType1,Description,Location 1
KARMA HI,124 MAKAALA STREET,HILO,,,"KARMA HI, LLC",77 KUKILA STREET,96720,SIT DOWN (RESTAURANT),,"124 MAKAALA STREET
HILO, HAWAII 96720
(19.702088745555272, -155.06768479812106)"
KILAUEA GENERAL STORE,19-3972 OLD VOLCANO ROAD,VOLCANO,(808)967-7555,,"AOK ENTERPRISES, INC.",P.O. BOX 959,96785,SIT DOWN (RESTAURANT),,"19-3972 OLD VOLCANO ROAD
VOLCANO, HAWAII 96785
(19.42954021135563, -155.23218878372063)"
JOLENE'S KAU KAU KORNER,P.O. BOX  374,HONOKAA,(808)775-9498,,JOLENE REUCIA,P.O. BOX  374,96727,SIT DOWN (RESTAURANT),,"P.O. BOX 374
HONOKAA, HAWAII 96727
(20.069240000126058, -155.47215999978403)"
HILO YACHT CLUB,77 LAEHALA STREET,HILO,(808)969-6663,,"HILO YACHT CLUB, A CORPORATION",77 LAEHALA STREET,96720,SIT DOWN (RESTAURANT),,"77 LAEHALA STREET
HILO, HAWAII 96720
(19.73616764177649, -155.03629634660984)"
FIFTIES HIGHWAY FOUNTAIN,35-2074 OLD GOVERNMENT ROAD,LAUPAHOEHOE,(808)962-0808,,LAWRENCE J./CAROL R. IGNACIO,P.O. BOX 317,96776,SIT DOWN (RESTAURANT),,"35-2074 OLD GOVERNMENT ROAD
LAUPAHOEHOE, HAWAII 96776
(20.039150000172526, -155.3681999999299)"
"KALANI HONUA, INC.",OCEAN HIGHWAY 137,PAHOA,(808)965-7828,,"KALANI HONUA, INC.",RR2 BOX 4500,96778,SIT DOWN (RESTAURANT),,"OCEAN HIGHWAY 137
PAHOA, HAWAII 96778
(19.5067600003739, -154.91721000014124)"
ANNA'S LOUNGE,399 E. KAWILI STREET,HILO,(808)935-8894,,"ANNA NAM, INC.",399 E. KAWILI STREET,96720,SIT DOWN (RESTAURANT),,"399 E. KAWILI STREET
HILO, HAWAII 96720
(19.705874891298606, -155.06541850660724)"
DON'S GRILL,485 HINANO STREET,HILO,(808)935-9099,,"DCH, INC.",485 HINANO STREET,96720,SIT DOWN (RESTAURANT),,"485 HINANO STREET
HILO, HAWAII 96720
(19.715398711588932, -155.06857512693009)"
NIHON RESTAURANT,123 LIHIWAI STREET,HILO,(808)969-1133,,"HILO TRADING CO., LTD.",123 LIHIWAI STREET,96720,SIT DOWN (RESTAURANT),,"123 LIHIWAI STREET
HILO, HAWAII 96720
(19.724949511540103, -155.0700859879393)"
MAXXWELLS LANDING-HILO-CAFÉ,HILO INT'L AIRPORT,HILO,(808)969-7126,,"VOLUME SERVICES, INC.",201 E. BROAD STREET,29306,SIT DOWN (RESTAURANT),,"HILO INT'L AIRPORT
HILO, SOUTH CAROLINA 29306
(34.92343999955648, -81.93158000021668)"
MIYO'S LLC,400 HUALANI STREET,HILO,(808)935-2273,,MIYO HARUMI,400 HUALANI STREET,96720,SIT DOWN (RESTAURANT),,"400 HUALANI STREET
HILO, HAWAII 96720
(19.71404972854498, -155.0726670421634)"
KOZMIC CONES,317 WAIANUENUE AVENUE,HILO,(808)935-6311,,"HAKS, INC.",317 WAIANUENUE AVENUE,96720,SIT DOWN (RESTAURANT),,"317 WAIANUENUE AVENUE
HILO, HAWAII 96720
(19.724149114933994, -155.0907793878335)"
KOPE KOPE ESPRESSO CAFÉ,"1261 KILAUEA AVENUE, #220",HILO,(808)933-1221,,"MGI ENTERPRISES, INC.","1261 KILAUEA AVENUE, #220",96720,SIT DOWN (RESTAURANT),,"1261 KILAUEA AVENUE, #220
HILO, HAWAII 96720
(19.710137677717512, -155.07630929638205)"
NANILOA VOLCANOES RESORT,93 BANYAN DRIVE,HILO,(808)969-3333,,"HAWAII OUTDOOR TOURS, INC.",421 MAKALIKA STREET,96720,SIT DOWN (RESTAURANT),,"93 BANYAN DRIVE
HILO, HAWAII 96720
(19.728456867454327, -155.06496884559257)"
QUEENS COURT RESTAURANT,71 BANYAN DRIVE,HILO,(808)935-0631,,HILO HAWAIIAN ASSOCIATES,71 BANYAN DRIVE,96720,SIT DOWN (RESTAURANT),,"71 BANYAN DRIVE
HILO, HAWAII 96720
(19.727647477627954, -155.06642574728005)"
NING'S THAI CUISINE,15-2955 OLD PAHOA ROAD,PAHOA,(808)965-7611,,NONGNUCH SUWANNASARN,P.O. BOX 2095,96778,SIT DOWN (RESTAURANT),,"15-2955 OLD PAHOA ROAD
PAHOA, HAWAII 96778
(19.5067600003739, -154.91721000014124)"
LE MAGIC PAN,64 KEAWE STREET,HILO,(808)933-7777,,SLM PANAEWA INC.,20 PANAEWA STREET,96720,SIT DOWN (RESTAURANT),,"64 KEAWE STREET
HILO, HAWAII 96720
(19.726073664076694, -155.08810840140646)"
RESTAURANT OSAKA,762 KANOELEHUA AVENUE,HILO,(808)961-6699,,"Y.H. YONEMORI, INC.",762 KANOELEHUA AVENUE,96720,SIT DOWN (RESTAURANT),,"762 KANOELEHUA AVENUE
HILO, HAWAII 96720
(19.707295820104946, -155.06431234051118)"
KOREANA RESTAURANT AND LOUNGE,88 KANOELEHUA AVENUE,HILO,(808)933-9515,,"R & C TADAKI, INC.",88 KANOELEHUA AVENUE,96720,SIT DOWN (RESTAURANT),,"88 KANOELEHUA AVENUE
HILO, HAWAII 96720
(19.721640006472228, -155.0643033472909)"
NEW SAIGON VIETNAM - RESTAURANT,96 KALANIANAOLE AVENUE,HILO,(808)854-6451,,TO HOA,P.O. BOX 10384,96720,SIT DOWN (RESTAURANT),,"96 KALANIANAOLE AVENUE
HILO, HAWAII 96720
(19.72335836681863, -155.06226156646997)"
PHO VIET RESTAURANT,80 KILAUEA AVENUE,HILO,(808)935-1080,,VIET HUYNH,80 KILAUEA AVENUE,96720,SIT DOWN (RESTAURANT),,"80 KILAUEA AVENUE
HILO, HAWAII 96720
(19.72283332694089, -155.08652084892876)"
MAUNA KEA OBSERVATORY SUPPORT SERVICES,MAUNA KEA MOUNTAIN,HILO,(808)935-7606,,STATE OF HAWAII,177 MAKAALA STREET,96720,SIT DOWN (RESTAURANT),,"MAUNA KEA MOUNTAIN
HILO, HAWAII 96720
(19.701710000016647, -155.0878700002002)"
PAOLO'S BISTRO,333 OLD GOVERNMENT ROAD,PAHOA,(808)965-7033,,PAOLO BUCCHIONI,P.O. BOX 1272,96778,SIT DOWN (RESTAURANT),,"333 OLD GOVERNMENT ROAD
PAHOA, HAWAII 96778
(19.5067600003739, -154.91721000014124)"
"PONDS HILO, INC.",135 KALANIANAOLE AVENUE,HILO,(808)934-7663,,"PONDS HILO, INC.",P.O. BOX 544,96781,SIT DOWN (RESTAURANT),,"135 KALANIANAOLE AVENUE
HILO, HAWAII 96781
(19.723735426800545, -155.06181222526973)"
REUBEN'S MEXICAN FOOD,336 KAMEHAMEHA AVENUE,HILO,(808)961-2552,,RUBEN VILLANUEVA,336 KAMEHAMEHA AVENUE,96720,SIT DOWN (RESTAURANT),,"336 KAMEHAMEHA AVENUE
HILO, HAWAII 96720
(19.723735426800545, -155.08470896413573)"
PLANTATION KITCHEN,87B BANYAN DRIVE,HILO,(808)933-2199,,GM DARYL SMITH,87B BANYAN DRIVE,96720,SIT DOWN (RESTAURANT),,"87B BANYAN DRIVE
HILO, HAWAII 96720
(19.728223043726757, -155.06540951338692)"
BLANE'S DRIVE INN - HONOKA'A,45-497 KIKA STREET,HONOKA'A,(808)775-7220,,BLANE & SHANE ABURAMEN,45-497 KIKA STREET,96727,TAKE OUT (RESTAURANT),,"45-497 KIKA STREET
HONOKA'A, HAWAII 96727
(20.079147492779896, -155.4665521045562)"
CAFÉ OHIA,19-4005 HAUNANI ROAD,VOLCANO,(808)985-8587,,LANCE M. YAMASHIRO,P.O. BOX 14,96785,TAKE OUT (RESTAURANT),,"19-4005 HAUNANI ROAD
VOLCANO, HAWAII 96785
(19.442542653462716, -155.24326415171018)"
BLANE'S DRIVE INN,150 WIWOOLE STREET,HILO,(808)935-2259,,"BLANE AND SHANE, INC.",150 WIWOOLE STREET,96720,TAKE OUT (RESTAURANT),,"150 WIWOOLE STREET
HILO, HAWAII 96720
(19.7018701098591, -155.06488665743564)"
CHENG'S,"14 W. LANIKAULA STREET, SUITE #101",HILO,(808)935-6061,,H.K. CHENG ENTERPRISE,1631 MIKOKOI STREET,96720,TAKE OUT (RESTAURANT),,"14 W. LANIKAULA STREET, SUITE #101
HILO, HAWAII 96720
(19.706918104852605, -155.07549990655568)"
BLANE'S DRIVE INN - ORCHIDLAND,16-127 ORCHIDLAND DRIVE,KEAAU,(808)982-9800,,BLANE S. AND SHANE E. ABURAMEN,150 WIWOOLE STREET,96720,TAKE OUT (RESTAURANT),,"16-127 ORCHIDLAND DRIVE
KEAAU, HAWAII 96720
(19.559585259947987, -154.99354095787248)"
"ASIANA CUISINE ENTERPRISES-ACE SUSHI, FL #26",2100 KANOELEHUA AVENUE,HILO,,,ASIANA MANAGEMENT GROUP,"1447 W. 178TH STREET, SUITE 303",90248,TAKE OUT (RESTAURANT),,"2100 KANOELEHUA AVENUE
HILO, CALIFORNIA 90248
(33.877682700896116, -118.27684999992744)"
VOLCANO GOLF & COUNTRY CLUB REST.,99-1621 PIIMAUNA DRIVE,VOLCANO GOLF COURSE,(808)967-8228,,"HAWAIIAN INT'L. SPORT CLUB, INC.",P.O. BOX 46,96718,SIT DOWN (RESTAURANT),,"99-1621 PIIMAUNA DRIVE
VOLCANO GOLF COURSE, HAWAII 96718
(19.435692125788666, -155.27746522696268)"
UNCLE BILLY'S RESTAURANT-BAR,87 BANYAN DRIVE,HILO,(808)935-0861,,"HILO BAY RESTAURANT, INC.",87 BANYAN DRIVE,96720,SIT DOWN (RESTAURANT),,"87 BANYAN DRIVE
HILO, HAWAII 96720
(19.728223043726757, -155.06540951338692)"
"WAIANUHEA, LLC",45-3503 KAHANA DRIVE,HONOKAA,(808)775-1118,,CAROL A. SALISBURY,P.O. BOX 185,96727,SIT DOWN (RESTAURANT),,"45-3503 KAHANA DRIVE
HONOKAA, HAWAII 96727
(20.0485525573431, -155.475293514681)"
BLAZIN STEAKS,"111 PUAINAKO STREET, #594",HILO,(808)959-1750,,RICHARD CRAFT,"111 PUAINAKO STREET, #594",96720,TAKE OUT (RESTAURANT),,"111 PUAINAKO STREET, #594
HILO, HAWAII 96720
(19.69531787892684, -155.0638680989685)"
BURGER KING - PAHOA,15-1452 KAHAKAI BOULEVARD,PAHOA,(808)965-3195,,KAZI RESTAURANTS OF HAWAII,"560 N. NIMITZ HIGHWAY, SUITE 215",96778,TAKE OUT (RESTAURANT),,"15-1452 KAHAKAI BOULEVARD
PAHOA, 96817 96778
(19.5067600003739, -154.91721000014124)"
CHEN'S CHINESE KITCHEN,"111 E. PUAINAKO STREET, #590",HILO,(808)959-8588,,DAVID CHEN,1034 OLIOLI WAY,96720,TAKE OUT (RESTAURANT),,"111 E. PUAINAKO STREET, #590
HILO, HAWAII 96720
(19.69531787892684, -155.0638680989685)"
ARBY'S RESTAURANT,111 E. PUAINAKO STREET,HILO,(808)959-1166,,MARION KOST,C/O 343 UPPER KIMO DRIVE,96790,TAKE OUT (RESTAURANT),,"111 E. PUAINAKO STREET
HILO, HAWAII 96790
(19.69531787892684, -155.0638680989685)"
ASAMI'S KITCHEN,308 KILAUEA AVENUE,HILO,(808)935-2242,,JAMES & ASAMI SHIMAZU,308 KILAUEA AVENUE,96720,TAKE OUT (RESTAURANT),,"308 KILAUEA AVENUE
HILO, HAWAII 96720
(19.721199338677877, -155.08432225566312)"
BOOGIE WOOGIE PIZZA,15-2937 PAHOA VILLAGE ROAD,PAHOA,(808)965-5575,,OPHELIA KENNEALY,P.O. BOX 6909,96720,TAKE OUT (RESTAURANT),,"15-2937 PAHOA VILLAGE ROAD
PAHOA, HAWAII 96720
(19.493940661873808, -154.94550290722037)"
AFFORDABLE CATERING,811 LAUKAPU STREET,HILO,(808)935-5611,,LESTER UCHIMA,811 LAUKAPU STREET,96720,TAKE OUT (RESTAURANT),,"811 LAUKAPU STREET
HILO, HAWAII 96720
(19.706657301464134, -155.06709124558174)"
"BAKER TOM'S ""A CALL OF THE WILD STATION""",27-2111 MAMALAHOA HIGHWAY,PAPAIKOU,(808)964-8444,,RAND T. WALLS,126 W. KINAI PLACE,96720,TAKE OUT (RESTAURANT),,"27-2111 MAMALAHOA HIGHWAY
PAPAIKOU, HAWAII 96720
(19.78735392530904, -155.09185318449494)"
AFC SUSHI @ SAFEWAY #2893,381 E. MAKAALA STRET,HILO,(310)604-3200,,ADVANCED FRESH CONCEPTS FRANCHISE CORPORATION,19205 S. LAUREL PARK ROAD,90220,TAKE OUT (RESTAURANT),,"381 E. MAKAALA STRET
HILO, CALIFORNIA 90220
(33.88538999964891, -118.23503999999588)"
DOMINO'S PIZZA,419 KILAUEA AVENUE,HILO,(808)961-3030,,JJIFCO ISLAND PIES,P.O. BOX 187,96281,TAKE OUT (RESTAURANT),,"419 KILAUEA AVENUE
HILO, WASHINGTON 96281
"
JAMBA JUICE,"111  E. PUAINAKO STREET, UNIT 103",HILO,(808)959-2250,www.jambahawaii.com,"JJC HAWAII, LLC","1288 ALA MOANA BOULEVARD, STE 216",96814,TAKE OUT (RESTAURANT),,"111 E. PUAINAKO STREET, UNIT 103
HILO, HAWAII 96814
(19.69531787892684, -155.0638680989685)"
J & J DINER,16-566 PAHOA ROAD,KEAAU,(808)896-5326,,FELIPA CABAYA,P.O. BOX 1687,96749,TAKE OUT (RESTAURANT),,"16-566 PAHOA ROAD
KEAAU, HAWAII 96749
(19.61263999973636, -155.0240000000998)"
HILO L & L DRIVE-INN,315 MAKAALA STREET,HILO,(808)935-3888,,"HILO L & L, INC.",315 MAKAALA STREET,96720,TAKE OUT (RESTAURANT),,"315 MAKAALA STREET
HILO, HAWAII 96720
(19.699337683604423, -155.06398642620778)"
"KANDI'S DRIVE INN, INC.",56 W. KAWAILANI STREET,HILO,(808)959-8461,,"KANDI'S DRIVE INN, INC.",56 W. KAWAILANI STREET,96720,TAKE OUT (RESTAURANT),,"56 W. KAWAILANI STREET
HILO, HAWAII 96720
(19.684680484466114, -155.06928738120598)"
EMMA'S MEXICAN FOOD TAKEOUT,16-203 WILIAMA PLACE,KEAAU,(808)966-7595,,BIG ISLAND MEXICAN FOODS INC.,16-203 WILIAMA PLACE,96749,TAKE OUT (RESTAURANT),,"16-203 WILIAMA PLACE
KEAAU, HAWAII 96749
(19.637874280013857, -155.04446157566306)"
H & K LUNCH SHOP,14 W. LANIKAULA STREET,HILO,(808)969-2024,,BETTY KANG,14 W. LANIKAULA STREET,96720,TAKE OUT (RESTAURANT),,"14 W. LANIKAULA STREET
HILO, HAWAII 96720
(19.706918104852605, -155.07549990655568)"
HILO COFFEE MILL,17-995 VOLCANO ROAD,MOUNTAIN VIEW,(808)968-1333,,HILO COFFEE MILL,P.O. BOX 486,96760,TAKE OUT (RESTAURANT),,"17-995 VOLCANO ROAD
MOUNTAIN VIEW, HAWAII 96760
(19.564807237782645, -155.08829725903263)"
EMMA'S MEXICAN FOOD TAKE OUT,16-203 WILIAMA PLACE,KEAAU,,,"BIG ISLAND MEXICAN FOODS, INC.",16-203 WILIAMA PLACE,96749,TAKE OUT (RESTAURANT),,"16-203 WILIAMA PLACE
KEAAU, HAWAII 96749
(19.637874280013857, -155.04446157566306)"
HILO RICE NOODLE SOUP,1990 KINOOLE STREET,HILO,(808)981-5841,,"LE CHANG, LLC",1990 KINOOLE STREET,96720,TAKE OUT (RESTAURANT),,"1990 KINOOLE STREET
HILO, HAWAII 96720
(19.690069056544136, -155.0695634324919)"
KAALAIKI LUNCH SHOP,NAALEHU,NAALEHU,(808)929-7147,,SUMIKO HANOA,P.O. BOX 268,96772,TAKE OUT (RESTAURANT),,"NAALEHU
NAALEHU, HAWAII 96772
(19.060310000406332, -155.58742000003284)"
HILO DRIVE-INN,165 E. KAWILI STREET,HILO,(808)936-8582,,TONY XIE,165 E. KAWILI STREET,96720,TAKE OUT (RESTAURANT),,"165 E. KAWILI STREET
HILO, HAWAII 96720
(19.705901870959508, -155.06988813709285)"
HAWAII NO. 1 CHINESE BBQ II INC.,"15-2660 PAHOA VILLAGE ROAD, #104",PAHOA,(808)965-8897,,SHI FENG ZHANG,"200 KANOELEHUA AVENUE, #100A",96720,TAKE OUT (RESTAURANT),,"15-2660 PAHOA VILLAGE ROAD, #104
PAHOA, HAWAII 96720
(19.505460977069106, -154.9567534258069)"
KALBI EXPRESS,"315 MAKAALA STREET, SUITE 106-D",HILO,(808)885-7773,,JI YONG CHOI,"67-1183 MAMALAHOA HWY, E119",96743,TAKE OUT (RESTAURANT),,"315 MAKAALA STREET, SUITE 106-D
HILO, HAWAII 96743
(20.016599999890275, -155.7242700003601)"
ICHIBAN SUSHI EXPRESS,"14 W. LANIKAULA STREET, #103",HILO,(808)934-8100,,KENJI MORITA,"14 W. LANIKAULA STREET, #103",96720,TAKE OUT (RESTAURANT),,"14 W. LANIKAULA STREET, #103
HILO, HAWAII 96720
(19.706918104852605, -155.07549990655568)"
"HILO LUNCH SHOP, INC.",421 KALANIKOA STREET,HILO,(808)935-8273,,"HILO LUNCH SHOP, INC.",421 KALANIKOA STREET,96720,TAKE OUT (RESTAURANT),,"421 KALANIKOA STREET
HILO, HAWAII 96720
(19.71693103116129, -155.0656281657672)"
KALAPANA VILLAGE CAFÉ,12-5037 PAHOA-KALAPANA ROAD,PAHOA,(808)965-0121,,HAWAIIAN FOOD SERVICES GROUP LLC,P.O. BOX 1851,96778,TAKE OUT (RESTAURANT),,"12-5037 PAHOA-KALAPANA ROAD
PAHOA, HAWAII 96778
(19.36183850488469, -154.96930335345039)"
GREEN SAND CAFÉ,95-5587 MAMALAHOA HIGHWAY,NAALEHU,,,JACOB B. HIEBLER,P.O. BOX 1032,96772,TAKE OUT (RESTAURANT),,"95-5587 MAMALAHOA HIGHWAY
NAALEHU, HAWAII 96772
(19.061159921713738, -155.58337403616227)"
DOSIRAK LUNCH BOX,111 E. PUAINAKO STREET,HILO,(808)959-0010,,"ARCS GROUP, LLC",P.O. BOX 1619,96721,TAKE OUT (RESTAURANT),,"111 E. PUAINAKO STREET
HILO, HAWAII 96721
(19.69531787892684, -155.0638680989685)"
KTA SUPER STORES-DELI,50 E. PUAINAKO STREET,HILO,(808)959-9111,,"PUNA PLANTATION HAWAII, LTD.",50 E. PUAINAKO STREET,96720,TAKE OUT (RESTAURANT),,"50 E. PUAINAKO STREET
HILO, HAWAII 96720
(19.69497510830348, -155.06632682185682)"
LEUNG'S CHOP SUEY HOUSE,530 E. LANIKAULA STREET,HILO,(808)935-4066,,"LEUNG'S CHOP SUEY HOUSE, INC.",530 E. LANIKAULA STREET,96720,TAKE OUT (RESTAURANT),,"530 E. LANIKAULA STREET
HILO, HAWAII 96720
(19.707088976038165, -155.06452817779822)"
MCDONALD'S OF WALMART HILO,325 MAKAALA STREET,HILO,(808)934-7200,,"HAWAII FIVE STARS, INC.",325 MAKAALA STREET,96720,TAKE OUT (RESTAURANT),,"325 MAKAALA STREET
HILO, HAWAII 96720
(19.699337683604423, -155.06225738967424)"
PAHOA VILLAGE CAFÉ,15-2929 PAHOA VILLAGE ROAD,PAHOA,(808)985-1133,,HAWAIIAN FOOD SERVICES GROUP LLC,P.O. BOX 1851,96778,TAKE OUT (RESTAURANT),,"15-2929 PAHOA VILLAGE ROAD
PAHOA, HAWAII 96778
(19.493962983670322, -154.94565882914927)"
MCDONALD'S OF KEAAU,16-565 OLD VOLCANO ROAD,KEAAU,(808)966-8812,,"HAWAII FIVE STARS, INC.",16-565 OLD VOLCANO ROAD,96749,TAKE OUT (RESTAURANT),,"16-565 OLD VOLCANO ROAD
KEAAU, HAWAII 96749
(19.62200411884612, -155.03953601860397)"
KEAAU PIZZA HUT,16-550 OLD VOLCANO ROAD,KEAAU,(808)982-3720,,"HAWAII PIZZA HUT, INC.",560 NORTH NIMITZ HIGHWAY #227,96817,TAKE OUT (RESTAURANT),,"16-550 OLD VOLCANO ROAD
KEAAU, HAWAII 96817
(19.62268760358836, -155.0391223304705)"
MCDONALD'S OF PUAINAKO,2100 KANOELEHUA AVENUE,HILO,(808)959-6462,,"HAWAII FIVE STARS, INC.",2100 KANOELEHUA AVENUE,96720,TAKE OUT (RESTAURANT),,"2100 KANOELEHUA AVENUE
HILO, HAWAII 96720
(19.690208701548215, -155.06603004558715)"
PAHOA MAIN ST. MARKET GRINDS,15-2545 OLD PAHOA HIGHWAY,PAHOA,(808)333-0422,,DONALD ROBINSON,P.O. BOX 1925,96778,TAKE OUT (RESTAURANT),,"15-2545 OLD PAHOA HIGHWAY
PAHOA, HAWAII 96778
(19.5067600003739, -154.91721000014124)"
MIGHTY,"15-2660 KEAAU-PAHOA ROAD, #106",PAHOA,(808)965-9881,,AUNG KYAW MOE,P.O. BOX 867,96778,TAKE OUT (RESTAURANT),,"15-2660 KEAAU-PAHOA ROAD, #106
PAHOA, HAWAII 96778
(19.506494049881734, -154.95739552191782)"
KFC PAHOA,15-1448 KAHAKAI BOULEVARD,PAHOA,(808)965-1150,,KAZI CORP. HAWAII,15-1448 KAHAKAI BOULEVARD,96778,TAKE OUT (RESTAURANT),,"15-1448 KAHAKAI BOULEVARD
PAHOA, HAWAII 96778
(19.50409862814424, -154.95445375617936)"
PANDA EXPRESS #1293,368 E. MAKAALA STREET,HILO,(808)920-8100,,"PANDA EXPRESS, INC.",1683 WALNUT GROVE AVENUE,91770,TAKE OUT (RESTAURANT),,"368 E. MAKAALA STREET
HILO, CALIFORNIA 91770
(34.065739999601476, -118.08436999997537)"
MAUI TACOS,111 E. PUAINAKO STREET,HILO,(808)959-0359,,"MAUI TACOS H1, INC.","145 HUGUENOT STREET, SUITE 320",10801,TAKE OUT (RESTAURANT),,"111 E. PUAINAKO STREET
HILO, NEW YORK 10801
(40.91519000011857, -73.78565999960915)"
L & L DRIVE INN KEAAU,"16-586 OLD VOLCANO ROAD, STE #104",KEAAU,(808)982-6668,,TONY XIE,"16-586 OLD VOLCANO ROAD, STE #104",96749,TAKE OUT (RESTAURANT),,"16-586 OLD VOLCANO ROAD, STE #104
KEAAU, HAWAII 96749
(19.6215332414914, -155.04002559043963)"
MAUNA LOA MACADAMIA NUT CORP.,16-701 MACADAMIA ROAD,KEAAU,(808)982-6562,,MAUNA LOA MACADAMIA NUT CORP.,P.O. BOX 806,17033,TAKE OUT (RESTAURANT),,"16-701 MACADAMIA ROAD
KEAAU, PENNSYLVANIA 17033
(40.27412999999967, -76.64508000024165)"
"KAWAMOTO STORE,LLC",784 KILAUEA AVENUE,HILO,(808)935-8209,,"KAWAMOTO STORE, LLC",784 KILAUEA AVENUE,96720,TAKE OUT (RESTAURANT),,"784 KILAUEA AVENUE
HILO, HAWAII 96720
(19.716441925142874, -155.0788273980641)"
"PAHOA SUBWAY, LLC",15-2660 KEAAU-PAHOA ROAD,PAHOA,(808)965-8551,,"PAHOA SUBWAY, LLC",1032 KUKUAU STREET,96720,TAKE OUT (RESTAURANT),,"15-2660 KEAAU-PAHOA ROAD
PAHOA, HAWAII 96720
(19.506494049881734, -154.95739552191782)"
PAUL'S REPAIR SERVICE-WOODLAND CENTER,15-1450 KAHAKAI BOULEVARD,PAHOA,(808)965-9411,,PAUL S. OGASAWARA,P.O. BOX 384,96778,TAKE OUT (RESTAURANT),,"15-1450 KAHAKAI BOULEVARD
PAHOA, HAWAII 96778
(19.504085014364307, -154.95440619531044)"
"KOJI'S BENTO KORNER, INC.",52 PONAHAWAI STREET,HILO,(808)935-1417,,BRUCE ODA,52 PONAHAWAI STREET,96720,TAKE OUT (RESTAURANT),,"52 PONAHAWAI STREET
HILO, HAWAII 96720
(19.72241611481135, -155.08426115614233)"
PUAINAKO TACO BELL (#19),2100 KANOELEHUA AVENUE,HILO,(808)959-9444,,"TACO ALOHA, INC.","560 N. NIMITZ HWY, STE 207",96817,TAKE OUT (RESTAURANT),,"2100 KANOELEHUA AVENUE
HILO, HAWAII 96817
(19.690208701548215, -155.06603004558715)"
THE UMAUMA EXPERIENCE,31-313 OLA MAMALAHOA HIGHWAY,HAKALAU,,,CL CARLILE ENTERPRISES L.P.,31-313 OLA MAMALAHOA HIGHWAY,96710,TAKE OUT (RESTAURANT),,"31-313 OLA MAMALAHOA HIGHWAY
HAKALAU, HAWAII 96710
(19.898560000044142, -155.12943999985598)"
